# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:EB                     7:TB                     8:phiphi                 9:TPhi                  10:Ephi               
   94       3.387544911800e-10       9.121713954636e-14      -2.575578510913e-12       3.648279945098e-16      -7.589045777636e-16       8.853813286473e-15       1.163940625647e-11       1.630492038646e-12      -7.454188251982e-15 
   95       3.428235478427e-10       9.328331037585e-14      -2.662686926064e-12       3.728262850871e-16      -7.821124764501e-16       9.627159762685e-15       1.132539905370e-11       1.595336311878e-12      -7.404576334530e-15 
   96       3.469224390661e-10       9.534071606103e-14      -2.750254427416e-12       3.809183933794e-16      -8.055947725210e-16       1.042401502156e-14       1.102223468796e-11       1.561275901406e-12      -7.352653666178e-15 
   97       3.510510276973e-10       9.738747517813e-14      -2.838216013363e-12       3.891048164809e-16      -8.293399938353e-16       1.124431130189e-14       1.072977731837e-11       1.528301798940e-12      -7.298536967278e-15 
   98       3.552090026547e-10       9.942167760590e-14      -2.926505282683e-12       3.973860712784e-16      -8.533360846217e-16       1.208795551535e-14       1.044778711035e-11       1.496393850797e-12      -7.242345377195e-15 
   99       3.593958716609e-10       1.014413849269e-13      -3.015054447424e-12       4.057626948851e-16      -8.775703969312e-16       1.295482870245e-14       1.017591653461e-11       1.465520352906e-12      -7.184200358664e-15 
  100       3.636109539743e-10       1.034446308286e-13      -3.103794345794e-12       4.142352450736e-16      -9.020296820883e-16       1.384478548853e-14       9.913706666026e-12       1.435637645798e-12      -7.124225602140e-15 
  101       3.678533731214e-10       1.054294215048e-13      -3.192654455044e-12       4.228043007099e-16      -9.267000821440e-16       1.475765353964e-14       9.660583482571e-12       1.406689709607e-12      -7.062546930163e-15 
  102       3.721220496296e-10       1.073937360566e-13      -3.281562904360e-12       4.314704621867e-16      -9.515671213270e-16       1.569323301856e-14       9.415854164261e-12       1.378607759063e-12      -6.999292201704e-15 
  103       3.764156937583e-10       1.093355268938e-13      -3.370446487747e-12       4.402343518568e-16      -9.766156974963e-16       1.665129604072e-14       9.178703392067e-12       1.351309838488e-12      -6.934591216526e-15 
