sim_num,gMpl,gMpl_std,aplusb_b95,aplusb_b95_std,aplusb_k95,aplusb_k95_std,aplusb_150,aplusb_150_std,aplusb_220,aplusb_220_std,aplusb_b95ext,aplusb_b95ext_std,chisq
87,-0.002,0.714,0.061,0.203,0.17,0.259,0.076,0.21,0.003,0.259,0.085,0.198,72.293
88,1.355,0.67,-0.464,0.194,-0.632,0.247,-0.254,0.199,-0.354,0.248,-0.485,0.188,78.485
89,-0.154,0.646,0.028,0.185,-0.298,0.244,-0.107,0.191,-0.132,0.263,0.002,0.185,112.651
90,-0.762,0.682,0.234,0.2,0.572,0.25,0.165,0.201,-0.153,0.266,0.172,0.188,55.332
91,-0.106,0.628,0.054,0.179,0.305,0.247,0.04,0.188,-0.083,0.252,0.082,0.175,68.375
92,-1.557,0.686,0.634,0.193,0.246,0.251,0.267,0.197,0.509,0.268,0.576,0.196,64.567
93,1.375,0.674,-0.382,0.196,0.162,0.243,-0.382,0.199,-0.019,0.258,-0.435,0.189,66.014
94,1.871,0.649,-0.33,0.186,-0.434,0.235,-0.354,0.187,-0.644,0.251,-0.372,0.183,59.102
95,-1.036,0.637,0.33,0.182,-0.205,0.251,0.0,0.184,0.017,0.236,0.329,0.181,79.814
96,0.309,0.7,-0.064,0.203,-0.146,0.261,-0.139,0.211,-0.415,0.256,-0.01,0.198,75.847
97,1.311,0.731,-0.401,0.214,-0.731,0.272,-0.339,0.205,-0.381,0.274,-0.35,0.196,133.741
98,0.723,0.647,-0.131,0.186,-0.287,0.256,-0.059,0.196,0.345,0.253,-0.202,0.185,47.225
99,-0.75,0.686,0.246,0.201,0.086,0.235,0.261,0.202,0.518,0.266,0.216,0.192,82.446
100,-1.604,0.699,0.275,0.202,0.449,0.257,0.433,0.209,0.308,0.262,0.316,0.195,58.286
101,-0.276,0.724,-0.065,0.209,-0.527,0.27,0.047,0.215,0.168,0.279,-0.105,0.2,106.134
102,-0.558,0.695,0.211,0.201,0.572,0.255,0.139,0.202,0.11,0.255,0.149,0.2,123.753
103,1.169,0.682,-0.281,0.193,-0.546,0.253,-0.381,0.2,-0.457,0.258,-0.35,0.19,63.462
104,-1.213,0.685,0.304,0.194,0.412,0.254,0.155,0.202,0.561,0.264,0.325,0.196,87.59
105,0.789,0.686,-0.167,0.193,0.369,0.256,-0.361,0.207,-0.376,0.26,-0.146,0.191,43.584
106,3.332,0.684,-0.932,0.192,-0.866,0.262,-0.636,0.204,-0.747,0.266,-0.92,0.191,65.684
107,-0.898,0.692,0.167,0.201,0.185,0.258,0.098,0.208,0.312,0.257,0.155,0.192,97.535
108,-1.511,0.665,0.481,0.191,0.229,0.254,0.388,0.197,0.232,0.252,0.438,0.188,81.258
109,0.25,0.665,-0.159,0.189,-0.214,0.239,-0.105,0.196,-0.205,0.258,-0.168,0.186,97.696
110,0.408,0.711,-0.062,0.199,-0.011,0.247,-0.375,0.211,-0.395,0.267,-0.019,0.199,78.48
111,0.662,0.669,-0.276,0.198,-0.506,0.246,-0.268,0.192,-0.764,0.251,-0.263,0.189,102.228
112,2.051,0.667,-0.478,0.193,-0.388,0.238,-0.271,0.197,-0.235,0.256,-0.489,0.188,75.819
113,1.025,0.695,-0.18,0.201,0.232,0.25,-0.127,0.202,-0.3,0.263,-0.258,0.198,79.077
114,-1.614,0.643,0.413,0.179,0.608,0.24,0.438,0.186,0.481,0.261,0.473,0.178,87.964
115,2.821,0.687,-0.629,0.19,-0.787,0.253,-0.945,0.201,-0.697,0.263,-0.672,0.196,179.084
116,1.647,0.635,-0.457,0.189,-0.42,0.243,-0.28,0.19,-0.159,0.248,-0.504,0.181,56.737
117,-2.805,0.688,0.728,0.196,0.68,0.249,0.68,0.197,0.783,0.261,0.713,0.19,87.411
118,-1.718,0.683,0.59,0.196,0.847,0.254,0.679,0.205,0.791,0.268,0.558,0.187,71.533
119,-0.452,0.698,0.113,0.197,0.433,0.245,0.148,0.209,-0.191,0.268,0.132,0.199,67.504
120,0.385,0.674,-0.017,0.195,-0.094,0.257,0.013,0.215,0.005,0.271,-0.084,0.193,58.645
121,2.02,0.686,-0.458,0.191,-0.353,0.264,-0.585,0.205,-0.364,0.265,-0.456,0.191,75.874
122,2.394,0.643,-0.587,0.181,-0.805,0.243,-0.651,0.192,-1.245,0.247,-0.612,0.18,63.183
123,-0.769,0.642,0.225,0.185,0.248,0.24,0.237,0.188,0.135,0.26,0.206,0.178,71.776
124,0.942,0.643,-0.306,0.181,-0.155,0.251,-0.343,0.196,-0.273,0.254,-0.259,0.185,65.803
125,-0.993,0.668,0.247,0.186,0.421,0.249,0.187,0.193,0.288,0.268,0.285,0.189,71.762
126,-2.52,0.655,0.595,0.183,0.64,0.251,0.612,0.191,0.61,0.258,0.586,0.188,90.014
127,-0.029,0.698,-0.073,0.201,0.069,0.259,0.065,0.207,-0.571,0.269,0.019,0.193,76.712
128,0.878,0.649,-0.211,0.188,-0.374,0.239,-0.291,0.197,-0.185,0.252,-0.224,0.182,48.833
